,aircraft.damage,make,model,number.of.engines,total.fatal.injuries,total.serious.injuries,total.minor.injuries,total.uninjured,total.passengers
26890,Substantial,beech,Be23,1,0,0,0,2,2
26891,Substantial,beech,Be23,1,0,0,1,1,2
26892,Destroyed,beech,Be36,1,3,0,0,0,3
26893,Substantial,beech,Be35,1,0,0,3,0,3
26894,Substantial,beech,Be35,1,0,0,0,2,2
26895,Destroyed,beech,Be35,1,2,0,0,0,2
26896,Substantial,beech,Be36,1,0,1,1,1,3
26897,Substantial,beech,Be95,2,0,0,0,3,3
26898,Substantial,beech,Be35,1,0,1,0,1,2
26899,Substantial,beech,Be23,1,0,0,1,0,1
26900,Substantial,beech,Be36,1,0,0,0,1,1
26901,Substantial,beech,Be36,1,0,0,0,2,2
26902,Destroyed,beech,Be35,1,0,2,0,0,2
26903,Destroyed,beech,Be95,2,1,0,0,0,1
26904,Destroyed,beech,Be36,1,2,0,0,0,2
26905,Destroyed,beech,Be35,1,0,3,0,0,3
26906,Destroyed,beech,Be35,1,1,0,1,0,2
26907,Minor,beech,Be35,1,0,0,0,4,4
26908,Destroyed,beech,Be23,1,0,3,0,0,3
26909,Substantial,beech,Be58,2,0,0,0,1,1
26910,Substantial,beech,Be23,1,0,0,0,4,4
26911,Destroyed,beech,Be36,1,1,0,0,0,1
26912,Substantial,beech,Be23,1,0,0,0,2,2
26913,Substantial,beech,Be35,1,0,0,0,4,4
26914,Substantial,beech,Be95,2,0,0,0,2,2
26915,Substantial,beech,Be35,1,0,0,0,1,1
26916,Destroyed,beech,Be35,1,1,0,0,0,1
26917,Substantial,beech,Be23,1,0,0,0,1,1
26918,Substantial,beech,Be58,2,0,0,0,1,1
26919,Substantial,beech,Be23,1,0,0,0,2,2
26920,Substantial,beech,Be23,1,0,0,0,4,4
26921,Destroyed,beech,Be36,1,0,0,2,2,4
26922,Substantial,beech,Be58,2,0,0,0,1,1
26923,Destroyed,beech,Be58,2,3,0,0,0,3
26924,Substantial,beech,Be95,2,0,0,0,1,1
26925,Substantial,beech,Be35,1,0,0,0,3,3
26926,Substantial,beech,Be23,1,0,0,0,2,2
26927,Destroyed,beech,Be35,1,3,0,0,0,3
26928,Substantial,beech,Be35,1,0,0,0,2,2
26929,Destroyed,beech,Be23,1,3,1,0,0,4
26930,Substantial,beech,Be36,1,0,0,0,2,2
26931,Substantial,beech,Be35,1,0,0,0,1,1
26932,Substantial,beech,Be35,1,0,0,0,1,1
26933,Substantial,beech,Be23,1,0,0,0,1,1
26934,Destroyed,beech,Be95,2,0,0,0,3,3
26935,Substantial,beech,Be36,1,0,0,0,6,6
26936,Substantial,beech,Be35,1,0,0,0,1,1
26937,Substantial,beech,Be36,1,0,0,0,3,3
26938,Substantial,beech,Be58,2,0,0,0,1,1
26939,Substantial,beech,Be35,1,0,0,0,2,2
26940,Substantial,beech,Be35,1,0,0,0,1,1
26941,Substantial,beech,Be95,2,0,0,0,4,4
26942,Substantial,beech,Be35,1,0,0,0,1,1
26943,Substantial,beech,Be23,1,0,0,0,1,1
26944,Substantial,beech,Be23,1,0,0,0,1,1
26945,Destroyed,beech,Be58,2,0,1,2,0,3
26946,Substantial,beech,Be35,1,0,0,0,3,3
26947,Destroyed,beech,Be35,1,0,0,2,0,2
26948,Substantial,beech,Be23,1,0,0,0,1,1
26949,Destroyed,beech,Be36,1,4,0,0,0,4
26950,Destroyed,beech,Be35,1,4,0,0,0,4
26951,Substantial,beech,Be23,1,0,0,0,2,2
26952,Destroyed,beech,Be36,1,5,0,0,0,5
26953,Substantial,beech,Be95,2,0,0,0,5,5
26954,Substantial,beech,Be23,1,0,0,0,1,1
26955,Substantial,beech,Be35,1,2,0,0,0,2
26956,Destroyed,beech,Be35,1,1,0,0,0,1
26957,Substantial,beech,Be36,1,0,0,3,0,3
26958,Substantial,beech,Be36,1,0,0,0,1,1
26959,Destroyed,beech,Be95,2,0,0,0,4,4
26960,Destroyed,beech,Be23,1,0,0,1,0,1
26961,Destroyed,beech,Be95,2,4,0,0,0,4
26962,Substantial,beech,Be58,2,1,0,0,3,4
26963,Substantial,beech,Be35,1,0,0,0,1,1
26964,Substantial,beech,Be36,1,0,2,0,0,2
26965,Substantial,beech,Be23,1,0,0,0,1,1
26966,Substantial,beech,Be23,1,0,1,1,0,2
26967,Substantial,beech,Be58,2,0,0,0,3,3
26968,Destroyed,beech,Be35,1,1,0,0,0,1
26969,Substantial,beech,Be23,1,0,0,0,2,2
26970,Destroyed,beech,Be23,1,3,0,0,0,3
26971,Destroyed,beech,Be35,1,2,0,0,0,2
26972,Substantial,beech,Be58,2,0,0,0,2,2
26973,Destroyed,beech,Be36,1,0,2,3,0,5
26974,Substantial,beech,Be35,1,0,0,0,2,2
26975,Substantial,beech,Be35,1,0,0,0,3,3
26976,Minor,beech,Be58,2,0,0,0,1,1
26977,Substantial,beech,Be35,1,0,0,0,1,1
26978,Substantial,beech,Be23,1,0,1,0,0,1
26979,Destroyed,beech,Be58,2,1,0,1,1,3
26980,Substantial,beech,Be23,1,0,0,2,0,2
26981,Substantial,beech,Be35,1,0,0,0,3,3
26982,Destroyed,beech,Be35,1,0,0,1,0,1
26983,Substantial,beech,Be95,2,0,1,2,1,4
26984,Substantial,beech,Be95,2,0,0,0,1,1
26985,Substantial,beech,Be95,2,0,0,0,1,1
26986,Substantial,beech,Be23,1,0,0,1,0,1
26987,Substantial,beech,Be95,2,0,0,0,1,1
26988,Substantial,beech,Be58,2,0,0,0,1,1
26989,Destroyed,beech,Be23,1,0,2,2,0,4
26990,Destroyed,beech,Be35,1,3,0,0,0,3
26991,Substantial,beech,Be36,1,0,0,0,2,2
26992,Substantial,beech,Be35,1,0,1,1,0,2
26993,Substantial,beech,Be58,2,0,0,0,3,3
26994,Substantial,beech,Be35,1,0,0,0,2,2
26995,Substantial,beech,Be35,1,0,0,0,2,2
26996,Destroyed,beech,Be35,1,2,0,0,0,2
26997,Destroyed,beech,Be35,1,0,1,0,1,2
26998,Destroyed,beech,Be23,1,2,0,0,0,2
26999,Destroyed,beech,Be35,1,1,1,0,0,2
27000,Substantial,beech,Be23,1,0,0,0,2,2
27001,Substantial,beech,Be35,1,0,0,0,3,3
27002,Substantial,beech,Be35,1,0,0,0,4,4
27003,Substantial,beech,Be36,1,0,0,0,4,4
27004,Destroyed,beech,Be35,1,2,0,0,0,2
27005,Substantial,beech,Be23,1,0,0,0,1,1
27006,Destroyed,beech,Be23,1,0,0,0,2,2
27007,Substantial,beech,Be58,2,0,0,0,1,1
27008,Substantial,beech,Be23,1,0,0,1,1,2
27009,Substantial,beech,Be58,2,0,0,0,3,3
27010,Substantial,beech,Be23,1,0,0,0,4,4
27011,Substantial,beech,Be23,1,0,0,0,1,1
27012,Substantial,beech,Be36,1,0,0,0,1,1
27013,Substantial,beech,Be35,1,0,0,0,1,1
27014,Substantial,beech,Be23,1,0,0,0,1,1
27015,Substantial,beech,Be35,1,0,0,1,2,3
27016,Substantial,beech,Be35,1,0,0,1,1,2
27017,Substantial,beech,Be58,2,0,0,0,3,3
